iter	Passed	Remaining
0	161	160916
1	165	82681
2	170	56728
3	174	43526
4	179	35771
5	184	30527
6	190	26958
7	195	24223
8	199	21991
9	204	20240
10	208	18744
11	212	17494
12	216	16455
13	220	15541
14	224	14742
15	228	14073
16	233	13514
17	238	12999
18	243	12591
19	247	12147
20	252	11752
21	256	11410
22	261	11091
23	265	10777
24	270	10531
25	273	10254
26	278	10021
27	282	9821
28	287	9621
29	291	9414
30	295	9226
31	299	9056
32	303	8879
33	306	8716
34	310	8559
35	314	8426
36	318	8280
37	321	8150
38	325	8024
39	329	7918
40	333	7803
41	337	7706
42	342	7612
43	345	7510
44	349	7413
45	354	7342
46	359	7293
47	363	7218
48	368	7158
49	373	7093
50	378	7039
51	382	6982
52	388	6940
53	392	6883
54	396	6820
55	401	6767
56	406	6717
57	410	6660
58	414	6606
59	419	6566
60	423	6513
61	426	6456
62	430	6406
63	434	6357
64	439	6319
65	443	6275
66	447	6233
67	451	6189
68	456	6153
69	461	6136
70	466	6101
71	470	6060
72	473	6017
73	478	5984
74	482	5953
75	486	5918
76	490	5883
77	494	5849
78	499	5817
79	502	5782
80	507	5757
81	512	5735
82	516	5702
83	520	5674
84	525	5654
85	529	5630
86	534	5604
87	538	5580
88	541	5546
89	546	5521
90	551	5506
91	556	5488
92	560	5464
93	564	5441
94	569	5421
95	573	5397
96	577	5371
97	578	5326
98	583	5308
99	587	5286
100	591	5261
101	595	5246
102	641	5588
103	662	5703
104	667	5692
105	673	5679
106	679	5670
107	685	5662
108	692	5657
109	697	5644
110	709	5684
111	715	5672
112	731	5740
113	741	5766
114	749	5769
115	757	5775
116	763	5762
117	769	5749
118	776	5752
119	782	5739
120	787	5723
121	793	5708
122	797	5684
123	802	5665
124	806	5642
125	810	5618
126	817	5620
127	837	5703
128	841	5683
129	848	5680
130	852	5658
131	857	5637
132	861	5616
133	865	5594
134	869	5571
135	873	5550
136	877	5528
137	881	5505
138	885	5483
139	888	5460
140	892	5439
141	896	5416
142	900	5396
143	904	5375
144	908	5355
145	911	5332
146	915	5314
147	920	5297
148	922	5268
149	926	5251
150	931	5236
151	935	5219
152	939	5201
153	943	5182
154	947	5165
155	951	5147
156	955	5128
157	958	5110
158	962	5092
159	966	5076
160	970	5057
161	974	5040
162	978	5022
163	981	5005
164	985	4989
165	989	4973
166	993	4957
167	997	4940
168	1001	4922
169	1004	4906
170	1008	4889
171	1012	4873
172	1016	4861
173	1020	4844
174	1024	4828
175	1027	4811
176	1031	4796
177	1035	4780
178	1038	4764
179	1043	4752
180	1047	4740
181	1051	4726
182	1055	4712
183	1059	4699
184	1063	4686
185	1068	4675
186	1072	4662
187	1076	4649
188	1080	4634
189	1083	4620
190	1087	4607
191	1091	4595
192	1095	4582
193	1099	4567
194	1103	4555
195	1107	4543
196	1111	4529
197	1115	4516
198	1119	4505
199	1123	4494
200	1127	4481
201	1131	4470
202	1134	4455
203	1139	4446
204	1143	4434
205	1147	4422
206	1151	4411
207	1155	4399
208	1159	4386
209	1163	4375
210	1167	4365
211	1171	4353
212	1174	4340
213	1178	4329
214	1182	4319
215	1186	4308
216	1190	4295
217	1192	4278
218	1196	4268
219	1200	4257
220	1204	4245
221	1208	4236
222	1212	4225
223	1216	4213
224	1219	4201
225	1223	4191
226	1227	4181
227	1231	4171
228	1235	4161
229	1240	4154
230	1245	4146
231	1249	4136
232	1253	4126
233	1257	4115
234	1261	4105
235	1264	4093
236	1268	4083
237	1272	4073
238	1275	4061
239	1278	4049
240	1282	4038
241	1286	4029
242	1290	4019
243	1294	4009
244	1298	4000
245	1302	3991
246	1305	3980
247	1309	3970
248	1313	3960
249	1317	3952
250	1321	3944
251	1325	3935
252	1329	3926
253	1333	3917
254	1337	3907
255	1340	3896
256	1344	3888
257	1348	3878
258	1352	3868
259	1356	3859
260	1359	3850
261	1363	3841
262	1366	3830
263	1370	3820
264	1374	3812
265	1378	3802
266	1381	3792
267	1384	3782
268	1388	3774
269	1392	3765
270	1396	3755
271	1398	3743
272	1402	3734
273	1406	3726
274	1409	3716
275	1413	3707
276	1417	3700
277	1421	3691
278	1424	3681
279	1428	3672
280	1431	3663
281	1435	3655
282	1438	3645
283	1442	3637
284	1446	3629
285	1450	3621
286	1454	3612
287	1457	3602
288	1460	3593
289	1464	3585
290	1468	3577
291	1472	3569
292	1475	3561
293	1479	3554
294	1483	3545
295	1486	3536
296	1489	3526
297	1493	3518
298	1497	3510
299	1500	3502
300	1504	3493
301	1508	3485
302	1511	3477
303	1515	3470
304	1519	3462
305	1523	3454
306	1527	3448
307	1531	3440
308	1534	3432
309	1538	3425
310	1542	3417
311	1545	3409
312	1549	3400
313	1553	3393
314	1557	3386
315	1560	3378
316	1563	3369
317	1567	3362
318	1571	3355
319	1575	3347
320	1578	3339
321	1582	3331
322	1586	3325
323	1590	3318
324	1593	3310
325	1597	3302
326	1601	3295
327	1604	3287
328	1608	3279
329	1612	3273
330	1617	3268
331	1621	3262
332	1626	3257
333	1630	3251
334	1634	3244
335	1637	3236
336	1641	3229
337	1645	3222
338	1649	3215
339	1652	3207
340	1656	3200
341	1660	3194
342	1664	3187
343	1667	3180
344	1671	3173
345	1675	3166
346	1678	3159
347	1682	3152
348	1686	3145
349	1690	3139
350	1694	3132
351	1697	3124
352	1701	3117
353	1705	3111
354	1708	3104
355	1712	3098
356	1715	3090
357	1719	3084
358	1725	3081
359	1729	3073
360	1732	3066
361	1736	3060
362	1740	3053
363	1743	3046
364	1747	3039
365	1751	3033
366	1755	3027
367	1759	3022
368	1763	3015
369	1767	3010
370	1771	3003
371	1774	2996
372	1778	2990
