iter	RMSE
0	14.43001592
1	13.9983183
2	13.59310275
3	13.20021778
4	12.81306558
5	12.4701385
6	12.15021197
7	11.84213761
8	11.50638392
9	11.17390249
10	10.85998211
11	10.59873121
12	10.35443316
13	10.07845046
14	9.81559825
15	9.546852067
16	9.29913213
17	9.105927926
18	8.894329375
19	8.657478418
20	8.446534363
21	8.240275707
22	8.031640963
23	7.838920291
24	7.650784808
25	7.47506795
26	7.304504463
27	7.142017637
28	6.986009599
29	6.853444555
30	6.706256255
31	6.554426835
32	6.431624807
33	6.308383485
34	6.193277229
35	6.070908207
36	5.955121397
37	5.840621825
38	5.733942974
39	5.625364912
40	5.52921578
41	5.441781884
42	5.347803433
43	5.266762553
44	5.188080718
45	5.103419311
46	5.025297541
47	4.951130782
48	4.885288584
49	4.821964268
50	4.764065974
51	4.699250977
52	4.639077368
53	4.585759161
54	4.528481802
55	4.477363835
56	4.426411774
57	4.380726527
58	4.334538961
59	4.289289293
60	4.246226994
61	4.202353887
62	4.165565327
63	4.135085034
64	4.098140925
65	4.063548648
66	4.033724171
67	4.00082637
68	3.972090845
69	3.94412945
70	3.91419717
71	3.887414605
72	3.864320102
73	3.840771284
74	3.815505217
75	3.791791693
76	3.768526189
77	3.748966486
78	3.726683883
79	3.706610588
80	3.689973519
81	3.668354577
82	3.651189864
83	3.632402504
84	3.618397933
85	3.600794695
86	3.58589593
87	3.569807702
88	3.554764319
89	3.537661064
90	3.524572829
91	3.511881349
92	3.500133135
93	3.48946801
94	3.478146441
95	3.468199718
96	3.45668005
97	3.445742981
98	3.436793643
99	3.426524206
100	3.416405183
101	3.407677423
102	3.398155195
103	3.388860855
104	3.380701161
105	3.372594274
106	3.364114468
107	3.355655187
108	3.347910071
109	3.34049158
110	3.332611632
111	3.325677808
112	3.319010871
113	3.311994893
114	3.306584208
115	3.298631567
116	3.293106331
117	3.287248763
118	3.28160685
119	3.276261444
120	3.270672501
121	3.265932423
122	3.258899643
123	3.253431182
124	3.24981989
125	3.24510771
126	3.239567949
127	3.235363109
128	3.229685715
129	3.2249056
130	3.22075266
131	3.214510461
132	3.210080193
133	3.205037077
134	3.201224662
135	3.196044324
136	3.191915145
137	3.188098774
138	3.186232156
139	3.180735595
140	3.176283326
141	3.171465782
142	3.167732619
143	3.163771065
144	3.160625321
145	3.156961347
146	3.154024796
147	3.150321165
148	3.145861833
149	3.141023601
150	3.136664534
151	3.133552844
152	3.131237448
153	3.128256076
154	3.125844686
155	3.123633712
156	3.119570109
157	3.111599443
158	3.109155285
159	3.104988717
160	3.101271394
161	3.098456438
162	3.092960045
163	3.090650178
164	3.086592782
165	3.082080861
166	3.080281577
167	3.078412975
168	3.075751289
169	3.074343474
170	3.072130541
171	3.070612166
172	3.067834015
173	3.063724052
174	3.05996979
175	3.058039202
176	3.056285396
177	3.05455566
178	3.04946148
179	3.044055233
180	3.040870954
181	3.036833419
182	3.033918341
183	3.031574867
184	3.029393138
185	3.025461157
186	3.023549643
187	3.020596523
188	3.017554025
189	3.014744849
190	3.011790736
191	3.010710546
192	3.008269769
193	3.004684245
194	3.001025516
195	2.998381068
196	2.996241743
197	2.992588901
198	2.989747114
199	2.9870027
200	2.984568579
201	2.981715231
202	2.978123384
203	2.976125599
204	2.973943414
205	2.971419264
206	2.966898833
207	2.964725843
208	2.961963087
209	2.959720433
210	2.956068452
211	2.952585168
212	2.949943622
213	2.947514004
214	2.94629017
215	2.944213744
216	2.942568822
217	2.939781809
218	2.936999458
219	2.933690965
220	2.932648709
221	2.929757249
222	2.927509953
223	2.926172834
224	2.92373403
225	2.919429216
226	2.918182943
227	2.915971522
228	2.914662673
229	2.913285088
230	2.91042655
231	2.90942606
232	2.905954607
233	2.902468697
234	2.898777248
235	2.89601123
236	2.893305163
237	2.889784513
238	2.887709139
239	2.88486326
240	2.883663714
241	2.880587656
242	2.87809212
243	2.872289346
244	2.870893121
245	2.869085619
246	2.868050032
247	2.86696529
248	2.86326735
249	2.859287672
250	2.855554959
251	2.85282798
252	2.848729589
253	2.846310243
254	2.84349109
255	2.84113284
256	2.838325852
257	2.835947202
258	2.832502423
259	2.830646885
260	2.82803452
261	2.827279239
262	2.824603796
263	2.823419184
264	2.821730972
265	2.819694843
266	2.819268916
267	2.816379862
268	2.813005115
269	2.809874482
270	2.808294423
271	2.805861963
272	2.80425022
273	2.80217638
274	2.797565371
275	2.795248914
276	2.792675794
277	2.789988394
278	2.788676784
279	2.786669762
280	2.783076409
281	2.781762635
282	2.779488135
283	2.776931896
284	2.774211984
285	2.772676799
286	2.768772189
287	2.767846612
288	2.766332895
289	2.764032172
290	2.762391492
291	2.758932278
292	2.755574776
293	2.754110118
294	2.753313288
295	2.749883527
296	2.747620357
297	2.745149116
298	2.740587064
299	2.738234895
300	2.736110607
301	2.733395867
302	2.730996904
303	2.72756746
304	2.725519717
