iter	Passed	Remaining
0	4	4738
1	9	4578
2	14	4746
3	17	4462
4	22	4432
5	26	4435
6	31	4485
7	35	4420
8	39	4367
9	44	4365
10	48	4361
11	52	4326
12	58	4440
13	62	4421
14	66	4392
15	72	4488
16	78	4519
17	80	4404
18	85	4393
19	89	4400
20	93	4382
21	102	4550
22	107	4546
23	111	4527
24	118	4630
25	123	4614
26	130	4710
27	136	4727
28	146	4916
29	153	4951
30	163	5109
31	169	5118
32	178	5218
33	185	5267
34	194	5370
35	200	5356
36	206	5383
37	212	5370
38	223	5500
39	228	5483
40	233	5468
41	239	5466
42	244	5450
43	252	5478
44	257	5472
45	263	5461
46	269	5461
47	274	5450
48	281	5468
49	287	5453
50	296	5510
51	301	5498
52	309	5523
53	315	5525
54	320	5512
55	336	5664
56	344	5693
57	349	5680
58	355	5668
59	360	5652
60	375	5786
61	381	5766
62	385	5730
63	389	5691
64	393	5661
65	398	5634
66	402	5603
67	411	5643
68	421	5691
69	430	5717
70	435	5694
71	439	5665
72	444	5642
73	448	5608
74	452	5574
75	457	5558
76	461	5526
77	464	5494
78	468	5466
79	473	5446
80	477	5418
81	481	5388
82	486	5376
83	492	5366
84	496	5344
85	500	5320
86	504	5296
87	509	5278
88	513	5255
89	517	5237
90	522	5218
91	526	5200
92	531	5183
93	535	5160
94	538	5133
95	543	5116
96	547	5096
97	551	5075
98	555	5056
99	559	5038
100	563	5017
101	567	5000
102	573	4990
103	577	4971
104	580	4952
105	585	4934
106	589	4920
107	593	4901
108	597	4882
109	601	4868
110	605	4851
111	609	4835
112	614	4821
113	618	4807
114	622	4789
115	626	4771
116	630	4762
117	635	4750
118	639	4732
119	643	4722
120	648	4708
121	651	4690
122	655	4676
123	660	4663
124	664	4649
125	667	4633
126	673	4627
127	678	4621
128	683	4611
129	692	4632
130	696	4622
131	701	4612
132	706	4607
133	711	4598
134	715	4586
135	721	4581
136	725	4572
137	730	4561
138	735	4557
139	740	4547
140	744	4538
141	750	4535
142	755	4525
143	759	4516
144	765	4513
145	769	4503
146	774	4492
147	779	4485
148	783	4474
149	787	4463
150	792	4457
151	797	4449
152	801	4438
153	807	4434
154	811	4425
155	816	4417
156	822	4414
157	826	4405
158	830	4395
159	836	4389
160	841	4382
161	845	4372
162	851	4371
163	856	4363
164	860	4352
165	868	4364
166	872	4354
167	877	4343
168	881	4335
169	885	4323
170	890	4315
171	894	4306
172	898	4294
173	902	4284
174	906	4274
175	911	4267
176	915	4255
177	918	4243
178	923	4233
179	927	4223
180	931	4213
181	935	4203
182	939	4193
183	943	4183
184	947	4172
185	951	4163
186	955	4155
187	959	4144
188	965	4144
189	973	4150
190	977	4141
191	982	4133
192	986	4125
193	990	4116
194	994	4107
195	999	4098
196	1003	4089
197	1006	4078
198	1010	4068
199	1014	4059
200	1019	4051
201	1024	4047
202	1029	4043
203	1036	4043
204	1040	4036
205	1045	4031
206	1050	4023
207	1053	4013
208	1059	4011
209	1064	4004
210	1068	3993
211	1072	3987
212	1077	3982
213	1082	3976
214	1087	3972
215	1091	3963
216	1095	3952
217	1099	3943
218	1103	3935
219	1107	3925
220	1110	3914
221	1114	3905
222	1118	3896
223	1121	3885
224	1124	3874
225	1129	3869
226	1134	3861
227	1137	3852
228	1141	3841
229	1145	3836
230	1149	3827
231	1153	3817
232	1156	3807
233	1160	3799
234	1164	3791
235	1168	3783
236	1172	3775
237	1177	3769
238	1180	3759
239	1184	3751
240	1188	3743
241	1192	3734
242	1195	3725
243	1200	3719
244	1205	3716
245	1210	3709
246	1214	3702
247	1218	3694
248	1222	3686
249	1227	3681
250	1231	3675
251	1235	3668
252	1239	3660
253	1244	3655
254	1249	3650
255	1253	3642
256	1257	3635
257	1262	3630
258	1267	3626
259	1271	3619
260	1275	3612
261	1280	3606
262	1284	3599
263	1288	3590
264	1292	3584
265	1296	3577
266	1300	3569
267	1303	3560
268	1307	3552
269	1311	3546
270	1315	3538
271	1319	3531
272	1324	3525
273	1327	3518
274	1331	3510
275	1335	3503
276	1340	3499
277	1344	3491
278	1347	3483
279	1352	3477
280	1356	3471
281	1360	3463
282	1364	3456
283	1369	3453
284	1373	3446
285	1377	3438
286	1382	3433
287	1386	3427
288	1390	3420
289	1394	3413
290	1399	3409
291	1404	3404
292	1408	3399
293	1414	3395
294	1417	3388
295	1421	3381
296	1427	3379
297	1432	3373
298	1436	3368
299	1478	3449
300	1482	3442
301	1491	3447
302	1495	3439
303	1498	3431
304	1503	3426
305	1507	3419
306	1511	3411
307	1515	3405
308	1520	3399
309	1524	3393
310	1529	3387
311	1535	3385
312	1539	3379
313	1543	3371
314	1548	3367
315	1552	3359
316	1555	3351
317	1559	3343
318	1563	3338
319	1567	3330
320	1570	3322
321	1577	3321
322	1581	3315
323	1587	3311
324	1591	3305
325	1595	3298
326	1600	3294
327	1605	3288
328	1609	3282
329	1615	3279
330	1619	3272
331	1623	3265
332	1627	3260
333	1632	3254
334	1635	3246
335	1639	3240
336	1644	3234
337	1648	3227
338	1651	3220
339	1656	3215
340	1661	3210
341	1665	3203
342	1668	3196
343	1673	3190
344	1677	3184
345	1680	3176
346	1684	3169
347	1689	3165
348	1693	3158
349	1697	3151
350	1701	3146
351	1705	3140
352	1709	3133
353	1713	3126
354	1717	3120
355	1721	3114
356	1725	3107
357	1729	3101
358	1734	3097
359	1738	3089
360	1741	3083
361	1745	3077
362	1749	3070
363	1756	3069
364	1761	3064
365	1765	3058
366	1770	3054
367	1774	3047
368	1778	3041
369	1782	3035
370	1787	3029
371	1791	3024
372	1796	3019
373	1800	3013
374	1804	3008
375	1809	3002
376	1813	2996
377	1817	2990
378	1821	2984
379	1825	2978
380	1829	2972
381	1834	2967
382	1837	2960
383	1841	2954
384	1845	2947
385	1850	2942
386	1853	2936
387	1857	2929
388	1861	2924
389	1866	2919
390	1870	2913
391	1873	2906
392	1878	2901
393	1882	2895
394	1885	2888
395	1889	2882
396	1894	2877
397	1898	2872
398	1903	2866
399	1910	2865
400	1913	2858
401	1917	2852
402	1922	2847
403	1926	2841
404	1930	2835
405	1933	2829
406	1938	2824
407	1941	2817
408	1945	2811
409	1951	2808
410	1956	2804
411	1959	2797
412	1964	2792
413	1969	2788
414	1973	2782
415	1978	2777
416	1983	2772
417	1988	2768
418	1993	2763
419	1997	2758
420	2001	2752
421	2006	2747
422	2011	2743
423	2015	2737
424	2019	2731
425	2023	2726
426	2027	2721
427	2031	2715
428	2035	2709
429	2040	2704
430	2044	2698
431	2047	2692
432	2051	2686
433	2056	2681
434	2060	2675
435	2064	2670
436	2068	2664
437	2072	2659
438	2076	2653
439	2080	2647
440	2084	2642
441	2088	2637
442	2092	2631
443	2097	2626
444	2100	2620
445	2104	2614
446	2108	2608
447	2113	2604
448	2117	2598
449	2121	2592
450	2126	2588
451	2130	2583
452	2134	2577
453	2138	2572
454	2144	2569
455	2148	2563
456	2152	2557
457	2157	2553
458	2162	2548
459	2165	2542
460	2170	2537
461	2175	2532
462	2179	2528
463	2184	2523
464	2188	2518
465	2192	2512
466	2196	2507
467	2201	2502
468	2204	2496
469	2208	2490
470	2212	2485
471	2216	2479
472	2220	2473
473	2223	2467
474	2228	2462
475	2232	2457
476	2235	2451
477	2239	2445
478	2243	2440
479	2247	2434
480	2251	2429
481	2255	2423
482	2260	2419
483	2263	2413
484	2267	2408
485	2274	2405
486	2279	2400
487	2284	2396
488	2287	2390
489	2292	2385
490	2295	2379
491	2299	2374
492	2303	2369
493	2307	2363
494	2311	2357
495	2314	2352
496	2319	2347
497	2322	2341
498	2328	2337
499	2333	2333
500	2337	2327
501	2341	2322
502	2346	2318
503	2351	2314
504	2356	2309
505	2361	2305
506	2366	2300
507	2370	2295
508	2375	2291
509	2380	2287
510	2384	2281
